SpaceName,PbaName
dev2-ad00000723,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1d4cbbd9-ba72-3a40-9f9f-3f3b6a5c2ae7
dev2-ad00000986,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:455b3099-a8d2-35f3-aab7-952fc1f8298b
dev2-ad00000192,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:8c40751b-8961-359d-8525-9e07d2977729
dev2-ad00000974,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:76daf6a4-3943-3a86-ab95-0cac63490eac
dev2-ad00000049,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:81b60c4c-e580-31ff-9cab-eb86367a57ca
dev2-ad00000060,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a87ab8e5-e7ce-30f8-868b-8e3b7ec5e719
dev2-ad00000034,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:f17a5585-264a-3a98-b1ff-0381e10afa94
dev2-ad00000972,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bcac99d4-1878-3d7a-87b8-bf03fcc8e71c
dev2-ad00000072,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7509f2f0-8f03-31df-9ba3-d78ee143547a
dev2-ad00000080,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:14cc3355-994d-3715-82fb-b6b7be7cf640
dev2-ad00000106,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:fa596ebd-5880-3c9c-84e5-9411a2d50f3f
dev2-ad00000094,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:80cac22e-1769-32c4-bdb7-fe6801867469
dev2-ad00000133,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7e21fa99-9e64-3cc3-b08b-b057f68fe1f6
dev2-ad00000138,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:368c9ba2-a3f3-33d3-b1b4-9108e6b8433e
dev2-ad00000181,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:00ae3e19-e72d-391d-aae2-a54559f44bd5
dev2-ad00000180,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:1dbd0322-1ebf-3f95-91d7-cc586de08eef
dev2-ad00000217,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0b082628-e627-325c-ad80-f3663a5a27c4
